x1,coordinates,date,prop_root_number,circumference_above_roots_mm,number_of_oyster_on_bottom_15_cm_of_prop_root,number_of_oyster_on_middle_15_cm_of_prop_root,number_of_oyster_on_top_15_cm_of_prop_root,largest_shell_length_on_prop_root_mm,location_of_largest_shell_on_prop_root_bottom_middle_top,largest_shell_length_in_oyster_reef_mm,number_of_alive_oysters_on_bottom,number_of_dead_oysters_on_bottom,number_of_alive_oysters_on_middle,number_of_dead_oysters_on_middle,number_of_alive_oysters_on_top,number_of_dead_oysters_on_top,number_of_oyster_not_in_cluster,number_of_oyster_clusters,number_of_individual_oysters_in_clusters,oysters_within_25x_25_m_quadrant,number_of_alive_oysters_in_reef,number_of_dead_oysters_in_reef
SITE 1,"29°53'42""N 81°19'45""W",2024-02-23T00:00:00Z,,260,,,,,,75.78,,,,,,,,,,145,22,123
,,,1,,22,24,12,75.49,Middle,,3,19,14,10,0,12,11,8,47,,,
,,,2,,1,13,6,73.28,Bottom,,0,1,0,13,0,6,4,2,16,,,
,,,3,,14,8,4,64.58,Bottom,,8,6,2,6,0,4,8,4,18,,,
SITE 2,"29°54'18""N 81°18'31""W",2024-03-05T00:00:00Z,,350,,,,,,97.12,,,,,,,,,,94,20,74
,,,1,,22,15,13,86.36,Middle,,6,16,7,8,4,9,4,6,46,,,
,,,2,,18,16,0,82.87,Middle,,10,8,9,7,0,0,2,4,32,,,
,,,3,,4,13,16,81.68,Bottom,,3,1,3,10,6,10,3,4,30,,,
SITE 3,"29°54'21""N 81°20'06""W",2024-03-05T00:00:00Z,,300,,,,,,76.02,,,,,,,,,,83,26,57
,,,1,,35,33,20,82.01,Bottom,,18,17,19,14,14,6,6,9,82,,,
,,,2,,14,17,32,77.33,Bottom,,9,5,8,9,15,17,12,8,51,,,
,,,3,,2,7,31,71.58,Top,,0,2,6,1,21,10,4,5,36,,,
SITE 4,"29°86'051""N 81°31'168""W",2024-04-04T00:00:00Z,,330,,,,,,105,,,,,,,,,,29,10,19
,,,1,,6,9,3,63,Bottom,,2,4,3,6,2,1,6,4,12,,,
,,,2,,8,5,3,74,Middle,,5,3,2,3,2,1,1,4,15,,,
,,,3,,7,7,6,72,Bottom,,2,5,4,3,1,5,6,3,14,,,
SITE 5,"29°52'55""N 81°17'54"" W",2024-04-04T00:00:00Z,,200,,,,,,84,,,,,,,,,,51,12,39
,,,1,,9,14,7,71,Middle,,5,4,5,5,2,5,3,3,23,,,
,,,2,,13,17,9,80,Middle,,4,3,10,7,5,4,2,3,31,,,
,,,3,,15,18,3,65,Middle,,4,3,12,6,2,1,2,2,26,,,
SITE 6,29°54'16''N 81°18'32''W,2024-04-04T00:00:00Z,,350,,,,,,135,,,,,,,,,,,,
,,,1,,27,,,70,Middle,,6,6,10,12,3,4,2,4,39,45,10,35
,,,2,,14,,,80,Middle,,8,6,12,4,7,7,4,2,40,,,
,,,3,,9,,,85,Middle,,3,6,4,5,2,4,7,1,17,,,
SITE 7,"29°54'16""N 81°18'32"" W",2024-04-04T00:00:00Z,,600,,,,,,102,,,,,,,,,,,,
,,,1,,15,27,18,75,Bottom,,12,3,18,9,8,10,10,5,50,63,14,49
,,,2,,20,33,26,90,Top,,16,4,22,11,10,16,9,6,70,,,
,,,3,,13,19,22,85,Middle,,7,5,9,10,7,15,6,7,47,,,
SITE 8,"29°53'51"" N 81°19'25"" W",2025-04-05T00:00:00Z,,260,,,,,,71,,,,,,,,,,,,
,,,1,,17,24,21,78,Top,,13,4,14,10,10,11,15,10,47,183,65,83
,,,2,,7,22,20,73,Middle,,4,3,20,2,13,7,6,5,43,,,
,,,3,,16,16,16,70,Bottom,,10,6,8,8,9,7,10,5,38,,,
